ISO,Country,Units,Scale,Country/Series-specific Notes,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
LSO,Lesotho,U.S. dollars,Billions,,0.701,0.767,1.109,1.384,1.484,1.519,1.759,1.652,1.937,2.356,2.571,2.465,2.345,2.477,2.207,2.219,2.356,2.32,2.289,2.068,2.458,2019
LBR,Liberia,U.S. dollars,Billions,,0.908,0.946,0.714,0.895,0.947,1.11,1.346,1.677,1.769,1.973,2.342,2.673,3.046,3.09,3.088,3.258,3.335,3.264,3.064,3.033,3.37,2016
LBY,Libya,U.S. dollars,Billions,,34.112,20.471,26.186,32.996,47.335,54.963,67.69,73.917,50.808,68.974,31.999,79.759,51.896,24.262,17.216,18.563,30.211,41.432,39.832,21.797,24.267,2017
LTU,Lithuania,U.S. dollars,Billions,,12.238,14.257,18.782,22.624,26.115,30.203,39.764,48.03,37.475,37.195,43.584,42.952,46.537,48.611,41.44,43.035,47.742,53.747,54.633,55.688,62.198,2020
LUX,Luxembourg,U.S. dollars,Billions,,21.291,23.712,29.615,34.733,37.382,42.452,50.959,56.072,51.518,53.308,60.073,56.711,61.758,66.209,57.774,60.716,64.159,70.952,71.113,73.205,84.077,2020
MAC,Macao SAR,U.S. dollars,Billions,,6.86,7.372,8.247,10.643,12.16,14.874,18.44,21.027,21.588,28.242,36.844,43.19,51.536,54.903,45.06,45.085,50.457,55.303,55.154,24.333,39.449,2020
MDG,Madagascar,U.S. dollars,Billions,,5.438,5.352,6.372,5.065,5.859,6.396,8.525,10.725,9.617,9.983,11.552,11.579,12.424,12.523,11.323,11.849,13.176,13.974,14.519,13.837,14.746,2018
MWI,Malawi,U.S. dollars,Billions,,2.967,3.496,3.211,3.476,3.656,3.998,4.431,5.321,6.195,6.957,7.984,5.981,5.432,6.055,6.402,5.492,6.23,6.911,7.663,8.488,9.268,2019
MYS,Malaysia,U.S. dollars,Billions,,101.054,109.833,120.025,135.869,150.345,170.412,202.733,241.763,211.854,258.641,302.184,318.91,327.869,342.868,301.355,301.255,319.109,358.713,364.684,338.276,387.093,2019
MDV,Maldives,U.S. dollars,Billions,,0.767,0.828,1.052,1.227,1.163,1.575,1.868,2.272,2.345,2.588,2.629,2.885,3.286,3.69,4.098,4.367,4.747,5.293,5.632,3.755,4.536,2020
MLI,Mali,U.S. dollars,Billions,,3.468,3.905,4.713,5.452,6.251,6.906,8.157,9.837,10.221,10.698,12.993,12.45,13.243,14.369,13.106,14.022,15.36,17.079,17.308,17.639,19.912,2018
MLT,Malta,U.S. dollars,Billions,,4.089,4.478,5.455,6.102,6.415,6.811,7.989,9.127,8.721,9.043,9.637,9.468,10.551,11.629,11.093,11.698,13.217,14.872,15.218,14.559,16.476,2020
MHL,Marshall Islands,U.S. dollars,Billions,,0.122,0.132,0.131,0.133,0.137,0.142,0.148,0.152,0.15,0.16,0.172,0.181,0.185,0.182,0.184,0.201,0.212,0.222,0.239,0.234,0.234,2019
MRT,Mauritania,U.S. dollars,Billions,,1.746,1.777,2.051,2.362,2.936,4.009,4.328,5.138,4.725,5.637,6.782,6.721,7.331,6.615,6.182,6.414,6.784,7.048,7.93,8.176,9.239,2018
MUS,Mauritius,U.S. dollars,Billions,,4.817,5.055,6.073,6.869,6.775,7.029,8.15,9.99,9.129,10.004,11.518,11.669,12.13,12.803,11.692,12.232,13.259,14.182,14.048,11.396,12.212,2018
MEX,Mexico,U.S. dollars,Billions,,756.693,772.11,729.335,782.243,877.477,975.383,"1,052.70","1,109.99",900.047,"1,057.80","1,180.49","1,201.09","1,274.44","1,315.36","1,171.87","1,078.49","1,158.91","1,222.35","1,268.87","1,076.16","1,192.48",2020
FSM,Micronesia,U.S. dollars,Billions,,0.241,0.242,0.245,0.24,0.25,0.253,0.257,0.263,0.28,0.297,0.311,0.327,0.317,0.319,0.316,0.332,0.367,0.402,0.413,0.408,0.401,2018
MDA,Moldova,U.S. dollars,Billions,,1.481,1.662,1.981,2.598,2.988,3.408,4.401,6.055,5.438,6.977,8.417,8.708,9.496,9.51,7.726,8.072,9.67,11.309,11.956,11.5,11.998,2019
MNG,Mongolia,U.S. dollars,Billions,,1.485,1.634,1.864,2.319,2.523,3.414,4.235,5.623,4.584,7.185,10.41,12.278,12.582,12.227,11.75,11.159,11.426,13.138,13.997,13.137,14.233,2020
MNE,Montenegro,U.S. dollars,Billions,,1.15,1.269,1.681,2.073,2.261,2.724,3.686,4.564,4.171,4.146,4.544,4.09,4.466,4.595,4.055,4.376,4.855,5.509,5.543,4.79,5.651,2020
MAR,Morocco,U.S. dollars,Billions,,39.46,42.238,52.064,59.626,62.343,68.641,79.041,92.507,92.897,93.217,101.371,98.266,106.826,110.081,101.179,103.312,109.683,118.096,119.701,113.548,124.003,2019
MOZ,Mozambique,U.S. dollars,Billions,,5.31,5.626,6.254,7.589,8.512,9.303,10.534,12.64,12.261,11.418,14.382,16.257,16.968,17.623,15.951,11.937,13.15,14.71,15.195,14.385,13.957,2019
MMR,Myanmar,U.S. dollars,Billions,,7.131,6.921,8.881,10.754,12.126,13.585,17.855,25.47,30.864,38.084,53.916,59,60.903,63.153,62.655,60.09,61.267,66.699,68.802,81.257,76.195,2020
NAM,Namibia,U.S. dollars,Billions,,3.55,3.369,4.932,6.617,7.258,7.984,8.73,8.496,8.915,11.281,12.423,13.016,12.168,12.434,11.45,10.719,12.883,13.672,12.541,10.564,11.381,2020
NRU,Nauru,U.S. dollars,Billions,,n/a,n/a,n/a,0.032,0.031,0.029,0.023,0.037,0.044,0.047,0.066,0.097,0.099,0.105,0.087,0.1,0.11,0.124,0.119,0.114,0.133,2019
NPL,Nepal,U.S. dollars,Billions,,6.734,6.832,7.234,8.315,9.351,10.339,11.803,14.342,14.696,18.293,21.733,21.703,22.161,22.722,24.361,24.524,28.972,33.112,34.187,34.465,36.084,2020
NLD,Netherlands,U.S. dollars,Billions,,431.59,473.527,579.925,658.081,685.727,733.994,848.659,951.766,870.572,848.073,905.111,839.455,877.186,892.398,765.65,783.844,833.575,914.458,907.151,909.503,"1,012.60",2019
NZL,New Zealand,U.S. dollars,Billions,,53.107,62.046,82.469,101.577,113.206,109.697,134.836,135.36,121.755,145.288,166.944,175.044,187.105,200.139,176.193,185.962,203.817,209.827,210.224,209.329,243.332,2020
NIC,Nicaragua,U.S. dollars,Billions,,5.335,5.224,5.322,5.793,6.321,6.764,7.423,8.497,8.297,8.759,9.774,10.532,10.983,11.88,12.757,13.286,13.786,13.064,12.535,12.146,12.283,2019
NER,Niger,U.S. dollars,Billions,,2.442,2.772,3.382,3.746,4.372,4.743,5.716,7.279,7.324,7.838,8.754,9.412,10.206,10.83,9.684,10.35,11.185,12.85,12.912,13.698,15.899,2019
NGA,Nigeria,U.S. dollars,Billions,,73.128,93.983,102.935,130.345,169.645,222.791,262.215,330.26,297.458,369.062,414.095,460.952,514.966,568.499,492.437,404.649,375.745,421.737,448.12,429.423,514.049,2019
MKD,North Macedonia,U.S. dollars,Billions,,3.709,3.991,4.946,5.684,6.257,6.86,8.337,9.912,9.4,9.415,10.499,9.751,10.824,11.378,10.067,10.686,11.336,12.694,12.55,12.288,13.821,2020
NOR,Norway,U.S. dollars,Billions,,173.973,195.525,228.858,264.51,308.884,345.579,400.939,462.25,386.188,428.757,498.283,509.506,522.762,498.41,385.802,368.827,398.394,437,405.51,362.009,444.519,2018
OMN,Oman,U.S. dollars,Billions,,19.452,20.143,21.634,24.764,31.082,37.216,42.085,60.905,48.388,57.048,68.017,76.616,78.784,81.077,68.919,65.481,70.598,79.789,76.331,63.192,74.115,2019
PAK,Pakistan,U.S. dollars,Billions,,77.644,78.258,89.943,105.562,117.798,137.267,152.398,169.726,167.125,176.738,213.308,223.119,230.644,243.94,270.17,278.023,304.603,313.073,276.114,262.799,n/a,2020
PLW,Palau,U.S. dollars,Billions,,0.157,0.163,0.154,0.165,0.185,0.189,0.195,0.198,0.184,0.184,0.193,0.212,0.224,0.244,0.279,0.297,0.288,0.285,0.28,0.254,0.229,2019
PAN,Panama,U.S. dollars,Billions,,12.704,13.204,13.915,15.255,16.638,18.438,21.296,25.156,27.117,29.44,34.686,40.43,45.6,49.921,54.092,57.908,62.203,64.928,66.788,52.938,59.377,2019
PNG,Papua New Guinea,U.S. dollars,Billions,,4.531,4.387,5.488,6.279,7.339,8.355,9.545,11.671,11.619,14.251,17.985,21.295,21.261,23.211,21.723,20.759,22.743,24.11,24.829,23.575,24.536,2019
PRY,Paraguay,U.S. dollars,Billions,,8.496,7.196,7.691,9.624,10.738,13.43,17.856,24.577,22.341,27.108,33.696,33.308,38.736,40.277,36.164,36.054,39.009,40.385,38.145,35.875,37.836,2019
PER,Peru,U.S. dollars,Billions,,51.034,53.954,58.537,66.126,74.232,87.459,102.187,121.754,121.493,148.931,170.983,192.882,202.091,202.308,191.316,194.95,214.061,225.141,230.746,203.772,225.918,2020
PHL,Philippines,U.S. dollars,Billions,,78.921,84.307,87.039,95.002,107.422,127.653,155.98,181.007,176.132,208.369,234.217,261.92,283.903,297.484,306.446,318.627,328.481,346.842,376.795,362.243,402.638,2020
POL,Poland,U.S. dollars,Billions,,190.805,199.07,217.829,255.292,306.304,344.627,429.021,533.6,439.794,479.834,528.292,498.517,521.013,542.602,477.488,472.256,526.643,587.433,595.772,594.18,642.121,2020
PRT,Portugal,U.S. dollars,Billions,,121.605,134.7,165.185,189.296,197.363,208.767,240.524,263.388,244.402,238.308,245.075,216.361,226.437,229.961,199.414,206.369,221.28,242.423,239.537,231.348,257.391,2020
PRI,Puerto Rico,U.S. dollars,Billions,,69.669,72.546,75.834,80.322,83.915,87.276,89.524,93.639,96.386,98.381,100.352,101.565,102.45,102.446,103.376,104.337,103.446,100.989,104.989,95.851,100.684,2019
QAT,Qatar,U.S. dollars,Billions,,17.498,19.334,23.716,30.651,44.636,58.629,75.987,112.621,88.196,119.707,167.775,186.834,198.728,206.225,161.74,151.732,161.099,183.335,175.838,146.09,166.031,2019
ROU,Romania,U.S. dollars,Billions,,40.395,46.065,57.806,74.974,98.454,122.024,174.589,214.317,174.102,166.309,183.326,170.636,190.8,199.961,177.731,188.13,211.696,241.456,249.695,247.214,289.13,2019
RUS,Russia,U.S. dollars,Billions,,328.475,370.062,461.518,633.294,817.717,"1,060.90","1,393.42","1,779.11","1,307.93","1,633.11","2,046.62","2,191.48","2,288.43","2,048.84","1,356.70","1,280.65","1,575.14","1,653.01","1,689.30","1,473.58","1,710.73",2020
RWA,Rwanda,U.S. dollars,Billions,,1.676,1.673,1.847,2.099,2.59,3.327,4.082,5.201,5.694,6.148,6.911,7.687,7.852,8.272,8.585,8.734,9.253,9.629,10.123,10.372,10.633,2018
WSM,Samoa,U.S. dollars,Billions,,0.266,0.282,0.333,0.408,0.474,0.503,0.554,0.667,0.603,0.663,0.737,0.761,0.77,0.757,0.788,0.799,0.832,0.837,0.852,0.804,0.752,2020
SMR,San Marino,U.S. dollars,Billions,,n/a,n/a,n/a,1.714,1.789,1.91,2.189,2.403,2.062,1.883,1.813,1.606,1.678,1.674,1.42,1.468,1.528,1.656,1.616,1.505,1.688,2019
STP,São Tomé and Príncipe,U.S. dollars,Billions,,0.072,0.08,0.096,0.104,0.125,0.133,0.145,0.188,0.188,0.197,0.233,0.253,0.303,0.349,0.318,0.348,0.376,0.416,0.422,0.418,0.485,2019
SAU,Saudi Arabia,U.S. dollars,Billions,,184.137,189.606,215.808,258.742,328.206,376.398,415.687,519.797,429.098,528.207,671.239,735.975,746.647,756.35,654.27,644.936,688.586,786.522,792.967,701.467,804.921,2019
SEN,Senegal,U.S. dollars,Billions,,6.508,7.001,8.767,10.072,11.015,11.699,13.996,16.852,16.128,16.134,17.811,17.672,18.919,19.802,17.777,19.035,20.989,23.127,23.307,24.448,27.927,2019
SRB,Serbia,U.S. dollars,Billions,,12.321,16.188,21.234,24.76,27.515,32.625,43.425,52.13,45.188,41.397,49.314,43.33,48.428,47.095,39.656,40.693,44.179,50.641,51.475,52.96,60.435,2019
SYC,Seychelles,U.S. dollars,Billions,,0.622,0.698,0.706,0.839,0.919,1.016,1.034,0.998,0.847,0.97,1.018,1.06,1.328,1.343,1.377,1.426,1.528,1.542,1.58,1.131,0.948,2019
SLE,Sierra Leone,U.S. dollars,Billions,,1.084,1.25,1.38,1.439,1.61,1.884,2.159,2.511,2.454,2.578,2.942,3.802,4.916,5.007,4.252,3.855,3.713,4.085,4.119,4.204,4.42,2018
SGP,Singapore,U.S. dollars,Billions,,89.794,92.538,97.646,115.034,127.808,148.627,180.942,193.617,194.15,239.808,279.357,295.093,307.576,314.864,307.999,318.753,343.332,375.963,374.39,339.981,374.394,2019
SVK,Slovak Republic,U.S. dollars,Billions,,21.421,24.888,34.085,43.19,49.116,57.492,77.239,97.17,89.302,90.473,99.235,94.589,98.878,101.351,88.512,89.691,95.461,105.75,105.091,104.088,117.664,2019
SVN,Slovenia,U.S. dollars,Billions,,20.901,23.539,29.673,34.448,36.261,39.514,48.073,55.773,50.513,48.248,51.575,46.607,48.416,50.01,43.112,44.754,48.569,54.186,54.18,52.838,59.132,2020
SLB,Solomon Islands,U.S. dollars,Billions,,0.41,0.346,0.353,0.398,0.477,0.539,0.62,0.699,0.736,0.847,1.05,1.191,1.285,1.338,1.311,1.381,1.458,1.566,1.579,1.567,1.644,2019
SOM,Somalia,U.S. dollars,Billions,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.499,3.611,3.892,3.964,4.049,4.198,4.509,4.721,4.944,4.92,5.367,2019
ZAF,South Africa,U.S. dollars,Billions,,121.602,115.748,175.254,228.931,257.667,271.812,299.033,287.095,297.221,375.304,416.879,396.332,366.821,350.901,317.578,296.273,349.433,368.135,351.354,302.114,329.529,2020
SSD,South Sudan,U.S. dollars,Billions,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17.186,11.267,14.947,15.383,14.801,3.501,3.495,4.659,4.143,4.074,4.461,2018
ESP,Spain,U.S. dollars,Billions,,627.834,708.256,907.264,"1,068.57","1,154.35","1,260.47","1,474.18","1,631.69","1,489.85","1,423.27","1,480.45","1,325.58","1,355.16","1,371.58","1,195.72","1,232.57","1,312.08","1,422.80","1,393.64","1,278.21","1,461.55",2020
LKA,Sri Lanka,U.S. dollars,Billions,,18.609,19.579,21.624,23.628,27.939,32.357,37.023,46.608,48.129,56.732,65.265,68.381,74.253,79.312,80.557,82.39,87.422,87.922,83.978,80.7,84.532,2019
KNA,St. Kitts and Nevis,U.S. dollars,Billions,,0.458,0.481,0.469,0.507,0.547,0.644,0.689,0.751,0.748,0.76,0.818,0.8,0.84,0.917,0.923,0.971,0.997,1.011,1.065,0.852,0.831,2019
LCA,St. Lucia,U.S. dollars,Billions,,0.892,0.9,0.987,1.067,1.136,1.268,1.336,1.438,1.402,1.487,1.577,1.605,1.665,1.755,1.808,1.865,1.999,2.066,2.122,1.692,1.787,2019
VCT,St. Vincent and the Grenadines,U.S. dollars,Billions,,0.43,0.462,0.482,0.522,0.551,0.611,0.684,0.695,0.675,0.681,0.676,0.693,0.721,0.728,0.755,0.774,0.792,0.811,0.825,0.787,0.798,2019
SDN,Sudan,U.S. dollars,Billions,,15.716,18.137,21.355,26.646,35.183,45.264,59.44,64.833,54.812,65.716,66.448,48.948,52.892,60.726,64.536,64.883,47.837,35.891,33.564,34.37,35.827,2019
SUR,Suriname,U.S. dollars,Billions,,1.09,1.376,1.615,1.868,2.235,2.626,2.936,3.533,3.876,4.368,4.422,4.98,5.146,5.241,4.787,3.129,3.216,3.465,3.697,2.41,2.465,2019
SWE,Sweden,U.S. dollars,Billions,,242.395,266.848,334.337,385.119,392.219,423.091,491.255,517.706,436.536,495.813,574.094,552.484,586.842,581.964,505.104,515.655,541.019,555.455,531.283,537.61,625.948,2019
CHE,Switzerland,U.S. dollars,Billions,,287.554,310.611,363.391,405.059,420.153,443.889,493.925,570.096,558.109,602.899,721.703,692.405,713.254,734.73,702.214,695.457,704.772,736.433,732.187,747.427,824.734,2019
SYR,Syria,U.S. dollars,Billions,,20.979,22.758,21.702,25.204,28.881,33.824,40.488,52.631,53.939,60.043,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2010
TWN,Taiwan Province of China,U.S. dollars,Billions,,299.276,307.439,317.381,346.924,374.06,386.45,406.907,415.901,390.829,444.281,483.974,495.61,512.943,535.328,534.515,543.081,590.733,609.198,612.168,668.51,759.104,2020
TJK,Tajikistan,U.S. dollars,Billions,,1.057,1.212,1.555,2.073,2.311,2.811,3.712,5.135,4.977,5.642,6.523,7.592,8.506,9.242,7.857,6.953,7.144,7.52,8.117,7.997,7.825,2019
TZA,Tanzania,U.S. dollars,Billions,,12.61,13.125,14.159,15.576,17.174,18.867,21.807,27.762,28.985,31.533,34.067,39.651,45.681,50.002,47.384,49.774,53.227,56.699,60.81,63.244,65.919,2019
THA,Thailand,U.S. dollars,Billions,,120.105,134.177,152.142,172.752,189.084,221.579,263.007,290.97,281.399,340.928,370.929,397.722,420.364,407.373,401.142,413.497,456.523,506.403,544.152,501.888,538.735,2020
TLS,Timor-Leste,U.S. dollars,Billions,,0.477,0.469,0.49,0.441,0.462,0.454,0.543,0.648,0.727,0.882,1.055,1.148,1.396,1.447,1.594,1.651,1.599,1.56,2.018,1.791,1.726,2019
TGO,Togo,U.S. dollars,Billions,,2,2.301,2.854,3.048,3.08,3.173,3.592,4.483,4.554,4.63,5.223,5.229,5.831,6.174,5.641,6.03,6.393,7.117,7.221,7.495,8.627,2016
TON,Tonga,U.S. dollars,Billions,,0.181,0.183,0.202,0.231,0.262,0.292,0.299,0.344,0.312,0.367,0.415,0.471,0.451,0.44,0.437,0.421,0.46,0.486,0.517,0.514,0.508,2019
TTO,Trinidad and Tobago,U.S. dollars,Billions,,8.96,9.148,11.464,13.472,16.17,18.6,22.006,28.233,19.562,22.522,25.789,25.763,27.268,27.616,24.96,22.394,22.385,23.68,23.208,21.53,22.161,2019
TUN,Tunisia,U.S. dollars,Billions,,22.066,23.142,27.454,31.184,32.272,34.377,38.915,44.844,43.466,44.054,45.81,45.044,46.248,47.634,43.172,41.801,39.627,40.139,39.169,39.553,44.265,2019
TUR,Turkey,U.S. dollars,Billions,,202.248,240.191,314.752,409.127,506.186,555.126,680.489,770.82,648.797,776.558,838.508,880.141,957.504,938.512,864.071,869.28,858.932,779.599,760.94,719.537,794.53,2020
TKM,Turkmenistan,U.S. dollars,Billions,,6.933,8.7,11.424,14.196,17.174,21.393,25.962,21.516,20.214,22.583,29.233,35.164,39.198,43.524,35.8,36.169,37.926,40.765,45.231,47.354,54.218,2019
TUV,Tuvalu,U.S. dollars,Billions,,0.013,0.016,0.018,0.022,0.022,0.023,0.027,0.031,0.027,0.031,0.038,0.037,0.037,0.037,0.035,0.04,0.043,0.046,0.047,0.048,0.057,2018
UGA,Uganda,U.S. dollars,Billions,,7.835,8.425,8.725,10.75,12.46,14.079,17.512,22.419,24.107,24.683,27.501,30.939,32.331,33.122,27.445,29.557,31.384,34.095,37.788,37.613,41.271,2019
UKR,Ukraine,U.S. dollars,Billions,,37.863,42.339,50.096,64.752,85.996,107.767,143.26,181.313,117.079,136.011,163.161,175.707,179.572,130.571,90.489,93.313,112.125,130.927,153.895,151.543,164.593,2019
ARE,United Arab Emirates,U.S. dollars,Billions,,103.312,109.816,124.346,147.824,180.617,222.117,257.916,315.475,253.547,289.787,350.666,374.591,390.108,403.137,358.135,357.045,385.605,422.215,421.142,354.279,401.513,2019
GBR,United Kingdom,U.S. dollars,Billions,,"1,639.08","1,782.89","2,052.79","2,413.13","2,535.64","2,709.83","3,094.59","2,952.33","2,421.02","2,484.02","2,660.79","2,704.50","2,785.06","3,067.12","2,933.43","2,703.24","2,664.71","2,860.98","2,833.30","2,710.97","3,124.65",2020
USA,United States,U.S. dollars,Billions,,"10,581.83","10,936.45","11,458.25","12,213.73","13,036.63","13,814.60","14,451.88","14,712.83","14,448.93","14,992.05","15,542.60","16,197.05","16,784.83","17,527.28","18,238.30","18,745.10","19,542.98","20,611.88","21,433.23","20,932.75","22,675.27",2020
URY,Uruguay,U.S. dollars,Billions,,22.712,14.809,13.109,14.892,18.901,21.314,25.486,32.988,34.395,43.763,52.103,55.692,62.499,62.178,57.874,57.237,64.234,64.765,62.212,55.711,55.459,2019
UZB,Uzbekistan,U.S. dollars,Billions,,13.76,11.424,11.982,14.198,16.929,20.142,26.389,33.84,39.583,46.686,56.549,63.631,69.008,76.661,81.34,81.323,58.147,50.378,57.726,57.706,61.203,2019
VUT,Vanuatu,U.S. dollars,Billions,,0.257,0.262,0.315,0.365,0.39,0.435,0.517,0.582,0.59,0.652,0.738,0.736,0.755,0.774,0.744,0.775,0.88,0.928,0.924,0.864,0.912,2018
VEN,Venezuela,U.S. dollars,Billions,,123.119,95.258,83.684,112.254,143.375,178.521,232.857,306.764,268.624,318.281,352.54,352.191,258.993,203.822,323.595,279.249,143.841,98.4,63.96,47.255,42.53,2018
VNM,Vietnam,U.S. dollars,Billions,,41.297,44.563,50.233,62.877,73.197,84.301,98.429,124.774,129.054,143.257,171.368,195.168,212.738,232.893,236.84,252.149,277.074,304.016,329.537,340.821,354.868,2019
WBG,West Bank and Gaza,U.S. dollars,Billions,,4.004,3.556,3.968,4.603,5.126,5.348,5.816,7.31,8.086,9.682,11.186,12.208,13.516,13.99,13.972,15.405,16.128,16.277,17.134,15.519,16.481,2019
YEM,Yemen,U.S. dollars,Billions,,9.853,10.693,11.778,13.868,16.732,19.063,21.651,26.911,25.13,30.907,32.726,35.401,40.415,43.229,42.445,30.934,26.736,23.486,22.568,20.14,25.095,2019
ZMB,Zambia,U.S. dollars,Billions,,4.094,4.194,4.902,6.221,8.329,12.762,14.06,17.914,15.332,20.264,23.455,25.502,28.042,27.145,21.245,20.965,25.874,26.312,23.309,18.529,18.955,2019
ZWE,Zimbabwe,U.S. dollars,Billions,,11.244,10.735,9.574,9.465,9.046,8.141,7.785,6.707,9.666,12.042,14.102,17.115,19.091,19.496,19.963,20.054,21.89,21.093,19.273,21.038,26.085,2019
,,,,,,,,,,,,,,,,,,,,,,,,,,
"International Monetary Fund, World Economic Outlook Database, April 2021",,,,,,,,,,,,,,,,,,,,,,,,,,
